# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:u'
# Event count (approx.): 9918151738131
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.00%  main     [.] std::allocator_traits<std::allocator<int> >::_S_select<std::allocator<int> const>
     0.00%  main     [.] std::_Destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol>
     0.00%  main     [.] approxChol_count
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_base
     0.00%  main     [.] std::allocator_traits<std::allocator<LLord> >::_S_select<std::allocator<LLord> const>
     0.00%  main     [.] std::_Destroy<int*, int>
     0.00%  main     [.] std::_Destroy<LLcol*, LLcol>
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::deallocate
     0.00%  main     [.] std::_Destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::_Iter_base<int*, false>::_S_base
     0.00%  main     [.] std::_Destroy<int*>
     0.00%  main     [.] __gnu_cxx::new_allocator<LLord>::~new_allocator
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_get_insert_unique_pos
     0.00%  main     [.] std::allocator_traits<std::allocator<LLord> >::select_on_container_copy_construction
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::~new_allocator
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_allocate
     0.00%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<LLord> >::_S_select_on_copy
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_impl::~_Vector_impl
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::new_allocator
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::~new_allocator
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_deallocate
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.00%  main     [.] std::_Iter_base<LLcol*, false>::_S_base
     0.00%  main     [.] operator new@plt
     0.00%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<LLcol> >::_S_propagate_on_copy_assign
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_S_right
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_get_Tp_allocator
     0.00%  main     [.] __gnu_cxx::new_allocator<LLord>::max_size
     0.00%  main     [.] std::_Destroy<LLcol*>
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::new_allocator
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_S_key
     0.00%  main     [.] __gnu_cxx::new_allocator<LLord>::new_allocator
     0.00%  main     [.] std::less<int>::operator()
     0.00%  main     [.] std::less<Edge>::operator()
     0.00%  main     [.] cmp_edge
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound
     0.00%  main     [.] get_ll_col_count
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_get_Tp_allocator
     0.00%  main     [.] sort_val
     0.00%  main     [.] memmove@plt
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_lower_bound
     0.00%  main     [.] compressCol_count
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<LLcol*>
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_S_value
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<int*>
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*
     0.00%  main     [.] sort_row
     0.00%  main     [.] logl@plt
     0.00%  main     [.] std::__unguarded_partition<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge, bool (*)(Edge const&, Edge const&)>
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key
     0.00%  main     [.] LLMatOrd::LLMatOrd
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_insert_<Edge>
     0.00%  main     [.] std::_Identity<Edge>::operator()
     0.00%  main     [.] SparseMatrix::SparseMatrix
     0.00%  main     [.] std::_Construct<Edge<Edge const&> >
     0.00%  main     [.] std::_Rb_tree_iterator<int>::_Rb_tree_iterator
     0.00%  main     [.] std::_Rb_tree_iterator<Edge>::_Rb_tree_iterator
     0.00%  main     [.] std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator
     0.00%  main     [.] std::_Identity<int>::operator()
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos
     0.00%  main     [.] std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, bool (*)(Edge const&, Edge const&)>
     0.00%  main     [.] __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator--
     0.00%  main     [.] std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value
     0.00%  main     [.] std::vector<double, std::allocator<double> >::size
     0.00%  main     [.] __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator++
     0.00%  main     [.] std::_Rb_tree_node<Edge>::_Rb_tree_node<Edge>
     0.00%  main     [.] std::set<Edge, std::less<Edge>, std::allocator<Edge> >::insert
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_create_node<Edge>
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_S_left
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_end
     0.00%  main     [.] SparseMatrix::SparseMatrix
     0.00%  main     [.] std::generate_canonical<double, 53ul, std::random_device>
     0.00%  main     [.] __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base
     0.00%  main     [.] std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>
     0.00%  main     [.] std::operator!=<LLord*>
     0.00%  main     [.] std::_Construct<LLord<LLord> >
     0.00%  main     [.] std::set<Edge, std::less<Edge>, std::allocator<Edge> >::lower_bound
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_insert_unique<Edge>
     0.00%  main     [.] __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge> >::construct<std::_Rb_tree_node<Edge><Edge> >
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::find
     0.00%  main     [.] std::forward<Edge>
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_begin
     0.00%  main     [.] __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge> >::deallocate
