# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'cycles:u'
# Event count (approx.): 109176193282
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.02%  main     [.] std::vector<double, std::allocator<double> >::operator[]
     0.02%  main     [.] std::vector<LLord, std::allocator<LLord> >::~vector
     0.02%  main     [.] LLMatOrd::LLMatOrd
     0.02%  main     [.] std::vector<double, std::allocator<double> >::begin
     0.02%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::begin
     0.02%  main     [.] std::advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long>
     0.02%  main     [.] std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     0.02%  main     [.] __gnu_cxx::new_allocator<LLord>::deallocate
     0.02%  main     [.] std::vector<LLord, std::allocator<LLord> >::begin
     0.02%  main     [.] std::vector<int, std::allocator<int> >::size
     0.02%  main     [.] std::_Vector_base<int, std::allocator<int> >::~_Vector_base
     0.02%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_Vector_impl::_Vector_impl
     0.02%  main     [.] std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<LLcol>
     0.02%  main     [.] std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, true, true>::__calc
     0.02%  main     [.] std::__miter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.02%  main     [.] std::vector<double, std::allocator<double> >::push_back
     0.02%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_get_Tp_allocator
     0.02%  main     [.] __gnu_cxx::new_allocator<double>::construct<double, double const&>
     0.02%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_impl::_Vector_impl
     0.02%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base
     0.02%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_allocate
     0.02%  main     [.] std::sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.02%  main     [.] std::copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.02%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.02%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, true>::_S_base
     0.02%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*, LLord>
     0.02%  main     [.] std::__final_insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.02%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_create_storage
     0.02%  main     [.] std::_Destroy<LLord*>
     0.02%  main     [.] std::vector<LLord, std::allocator<LLord> >::size
     0.02%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, true>::_S_base
     0.02%  main     [.] __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >::__normal_iterator
     0.02%  main     [.] std::forward<double>
     0.02%  main     [.] std::__lg
     0.02%  main     [.] std::vector<int, std::allocator<int> >::~vector
     0.02%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::~_Vector_base
     0.01%  main     [.] std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, double>::operator()
     0.01%  main     [.] std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>
     0.01%  main     [.] std::forward<int const&>
